vid,utter_id_x,emotion,C-E1,C-E2,C-E4,sentence,utter_id_y,label,Valence,Arousal,Dominance
Ses01F_script02_1,Ses01F_script02_1_F009,hap,,Happiness,Neutral,[LAUGHTER],17,0,4.0,2.5,2.0
Ses01F_script02_1,Ses01F_script02_1_F010,sad,,Sadness,Neutral,I'm cold.,18,1,2.0,2.0,2.5
Ses01F_script02_1,Ses01F_script02_1_M018,fru,,Neutral,Frustration,Do you want my jacket?,19,5,3.5,3.0,2.5
Ses01F_script02_1,Ses01F_script02_1_M020,neu,,Neutral,Neutral,Right.,20,2,4.0,3.0,2.5
Ses01F_script02_1,Ses01F_script02_1_M021,neu,,Neutral,Neutral,"Wait, that's my point, too.",21,2,3.0,2.0,2.5
Ses01F_script02_1,Ses01F_script02_1_F014,fru,,Anger,Frustration,"Well, then let's go.",22,5,2.5,2.5,2.5
Ses01F_script02_1,Ses01F_script02_1_M022,fru,,Anger,Frustration,"No, no.  Okay.  That's not my point.  My point is there is no point in coming down here if we just turn around and go home.  Don't you want to see it?",23,5,3.0,3.0,3.0
Ses01F_script02_1,Ses01F_script02_1_F015,neu,,Anger,Neutral,Not particularly.,24,2,2.5,1.5,2.5
Ses01F_script02_1,Ses01F_script02_1_M023,neu,,Neutral,Neutral,Why not?,25,2,2.5,2.0,1.5
Ses01F_script02_1,Ses01F_script02_1_M024,neu,,Neutral,Neutral,"Honey, this is like a natural phenomenon. I mean... People in Kansas would have to get plane reservations and get hotel rooms to see this.  It's just forty minutes away for us  it's too good to pass up.",26,2,3.0,3.0,2.5
Ses01F_script02_1,Ses01F_script02_1_F017,fru,,Disgust,Frustration,"Pass what up?  I mean these fish swim out of the ocean, they flop around on the beach, they swim away and then they die.",27,5,2.0,3.5,3.5
Ses01F_script02_1,Ses01F_script02_1_M025,neu,,Neutral,Neutral,Yeah.  But this..this moment on the beach is like the highlight of their little lives.  All that flopping around is laying eggs or what to do - spawning or mating or whatever.,28,2,3.0,3.0,2.5
Ses01F_script02_1,Ses01F_script02_1_M026,neu,,Excited,Neutral,This is a big night for these little guys.  It's like life's last orgy.,29,2,3.5,3.0,3.0
Ses01F_script02_1,Ses01F_script02_1_M027,fru,,Frustration,Frustration,Yeah they do.,30,5,3.0,3.0,2.5
Ses01F_script02_1,Ses01F_script02_1_F019,fru,,Frustration,Frustration,Oh Augie,31,5,2.0,2.0,3.0
Ses01F_script02_1,Ses01F_script02_1_M029,neu,,Neutral,Neutral,"There's like mystery here, there's magic.  It's like a little bit of the unexplainable.  I just can't see how you're not interested.",32,2,3.5,3.0,2.5
Ses01F_script02_1,Ses01F_script02_1_M031,neu,,Neutral,Other,"God, I don't get it.  you know the first time we came here, you said it was the best night of your life?",34,2,3.5,3.0,2.0
Ses01F_script02_1,Ses01F_script02_1_M032,neu,,Neutral,Neutral,"And last year, I remember distinctly you said, you were so excited to get here that you don't remember you stubbed your toe until we were in the car.",35,2,3.0,2.5,2.0
Ses01F_script02_1,Ses01F_script02_1_M033,neu,,Neutral,Neutral,Ahh...we weren't in a good spot.,36,2,3.5,2.5,3.0
Ses01F_script02_1,Ses01F_script02_1_F023,fru,,Frustration,Neutral,Hmm.  We didn't see them the year before either.,37,5,2.5,2.5,3.5
Ses01F_script02_1,Ses01F_script02_1_M034,neu,,Neutral,Neutral,"We just weren't in a good spot.  I'm telling you, this is a much better spot.  I have instincts for these things.",38,2,3.0,2.5,3.0
Ses01F_script02_1,Ses01F_script02_1_M035,exc,,Excited,Excited,"Look there, see?  What's that?  No, that's - that's just seaweed.",39,4,3.0,4.0,2.5
Ses01F_script02_1,Ses01F_script02_1_M036,hap,,Happiness,Happiness,"God, this is great.  Think about this.  I know you are not interested, but just think about this.",40,0,3.5,3.5,2.5
Ses01F_script02_1,Ses01F_script02_1_M038,exc,,Excited,Excited,"Just all at once, they turned and they formed this line as long as the California coast.  And some instinctual little firecracker went off in their bodies and they all just turned as one and started swimming.",41,4,3.5,3.5,2.5
Ses01F_script02_1,Ses01F_script02_1_M040,exc,,Excited,Excited,It's single mindedness with no mind.  It is urgency that is just pure urge.,42,4,3.0,3.5,2.5
Ses01F_script02_1,Ses01F_script02_1_F024,neu,,Frustration,Neutral,That's the wind.,43,2,2.5,1.5,2.5
Ses01F_script02_1,Ses01F_script02_1_M043,hap,,Happiness,Happiness,So what do you think?,44,0,4.0,3.0,2.0
Ses01F_script02_1,Ses01F_script02_1_F025,neu,,Neutral,Neutral,About what?,45,2,2.5,1.5,2.0
Ses01F_script02_1,Ses01F_script02_1_M044,hap,,Happiness,Happiness,"About all of that, about all I was talking about.",46,0,4.0,2.0,1.5
Ses01F_impro07,Ses01F_impro07_M000,exc,Excited,Excited,Neutral,Did you get the letter?,0,4,3.5,3.0,2.0
Ses01F_impro07,Ses01F_impro07_F000,exc,Excited,Excited,Excited,"Yes.  There's a big envelope it says, you're in. I know.",1,4,5.0,5.0,4.5
Ses01F_impro07,Ses01F_impro07_M001,exc,Excited,Excited,Neutral,Yeah. That is so awesome.,2,4,4.5,4.5,4.0
Ses01F_impro07,Ses01F_impro07_M002,exc,Excited,Excited,Excited,Oh my God. What are you going to do? [LAUGHTER],3,4,4.5,4.0,4.0
Ses01F_impro07,Ses01F_impro07_M003,exc,Excited,Excited,Excited,"Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly.",4,4,4.5,3.5,2.5
Ses01F_impro07,Ses01F_impro07_F002,exc,Excited,Excited,Excited,"I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.",5,4,4.0,4.0,3.0
Ses01F_impro07,Ses01F_impro07_M004,exc,Excited,Excited,Excited,"Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood?",6,4,4.0,4.0,3.0
Ses01F_impro07,Ses01F_impro07_F003,exc,Excited,Excited,Excited,"Oh- I know, I know, I know, I know.",7,4,4.5,4.5,4.5
Ses01F_impro07,Ses01F_impro07_F004,exc,Excited,Happiness,Excited,"I don't know.  I spend so much time commuting as it is, I'd rather.",8,4,3.0,3.5,3.0
Ses01F_impro07,Ses01F_impro07_M005,exc,Excited,Excited,Excited,This is so- I am so happy that you're going to stay.  You're not going to...We should totally throw a party.,9,4,4.5,4.5,3.5
Ses01F_impro07,Ses01F_impro07_F005,exc,Excited,Excited,Excited,I know. We should throw a party.,10,4,5.0,4.5,4.5
Ses01F_impro07,Ses01F_impro07_M006,exc,Excited,Excited,Excited,A rapper party ho. Yeah. Okay.,11,4,4.5,4.5,3.5
Ses01F_impro07,Ses01F_impro07_M007,exc,Excited,Excited,Excited,"I am just- Yeah.  I'm sticking around, I'm just doing my thing.  I'm living here.  I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo.",12,4,4.5,4.5,4.5
Ses01F_impro07,Ses01F_impro07_F007,xxx,Excited,Happiness,Excited,It's a relief too. I mean I was thinking I was going to have to pack up all of my stuff but yeah. Hooray for U.S.C.,13,0,4.0,4.0,3.5
Ses01F_impro07,Ses01F_impro07_M008,exc,Excited,Happiness,Excited,Yeah.  Big time.,14,4,4.0,3.0,3.0
Ses01F_impro07,Ses01F_impro07_M009,exc,Excited,Happiness,Excited,Mmhmm. Mmhmm. Yay. So what major?  What are you doing?,15,4,3.5,4.0,3.5
Ses01F_impro07,Ses01F_impro07_F009,exc,Excited,Happiness,Excited,Yeah.  I'm not sure.,16,4,4.0,3.0,2.5
Ses01F_impro07,Ses01F_impro07_M012,neu,Excited,Neutral,Neutral,Is this a Masters or a P.h.D.?  Or can you...? Nice,17,2,3.0,2.5,3.0
Ses01F_impro07,Ses01F_impro07_F010,exc,Excited,Happiness,Excited,Umm...P.h.D. [LAUGHTER],18,4,5.0,4.5,4.0
Ses01F_impro07,Ses01F_impro07_M013,neu,Excited,Neutral,Neutral,"That's good.  Don't you have to like teach a class, too, when you do that?",19,2,4.0,2.5,2.5
Ses01F_impro07,Ses01F_impro07_M014,exc,Excited,Happiness,Excited,"Teacher. Mrs. Nash, I have a question.",20,4,4.0,4.5,3.0
Ses01F_impro07,Ses01F_impro07_F012,exc,Excited,Happiness,Excited,So I get to mold young minds. Mrs.?  That's my mother.,21,4,4.5,4.0,3.5
Ses01F_impro07,Ses01F_impro07_M015,exc,Excited,Happiness,Excited,You have to get married.  Well you are married to Chuck.  You're Mrs. Nash.  Not to be confused with Mrs. Dash which is the popular seasoning.,22,4,4.5,4.0,3.5
Ses01F_impro07,Ses01F_impro07_F013,exc,Excited,Excited,Excited,"I would be like- Oh. Right, right, right.",23,4,4.5,4.0,4.0
Ses01F_impro07,Ses01F_impro07_M017,exc,Excited,Excited,Excited,Yay...School's fun.,24,4,4.0,3.5,2.5
Ses01F_impro07,Ses01F_impro07_M018,neu,Excited,Neutral,Neutral,"Of course, right.  That's where the real money is, being a student.",25,2,4.0,3.0,3.0
Ses01F_impro07,Ses01F_impro07_M019,hap,Excited,Happiness,Happiness,That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.,26,0,4.5,4.0,3.0
Ses01F_impro07,Ses01F_impro07_F016,exc,Excited,Excited,Excited,"I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah.",27,4,4.5,3.5,3.0
Ses01F_impro03,Ses01F_impro03_M000,neu,Happiness,Neutral,Neutral,So what's up?  What's new?,0,2,4.0,3.0,2.6667
Ses01F_impro03,Ses01F_impro03_F000,hap,Happiness,Happiness,Happiness,Well Vegas was awesome.,1,0,4.3333,2.6667,2.6667
Ses01F_impro03,Ses01F_impro03_M001,neu,Surprise,Neutral,Neutral,Yeah.  I heard.,2,2,4.3333,2.6667,2.3333
Ses01F_impro03,Ses01F_impro03_F001,hap,Excited,Happiness,Happiness,"And, um, I got married.",3,0,4.0,2.6667,2.6667
Ses01F_impro03,Ses01F_impro03_F002,hap,Excited,Happiness,Happiness,Yeah.  In the old town part.,4,0,4.3333,3.0,2.3333
Ses01F_impro03,Ses01F_impro03_M003,exc,Excited,Surprise,Excited,Who did you marry?,5,4,5.0,4.6667,3.0
Ses01F_impro03,Ses01F_impro03_F004,hap,Excited,Happiness,Happiness,Um- Yes.  It was very romantic.,6,0,4.6667,3.6667,2.3333
Ses01F_impro03,Ses01F_impro03_F005,hap,Excited,Happiness,Happiness,It was at the slot machines.,7,0,4.3333,4.0,2.3333
Ses01F_impro03,Ses01F_impro03_F006,hap,Excited,Happiness,Happiness,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",8,0,4.0,3.3333,2.6667
Ses01F_impro03,Ses01F_impro03_M006,neu,Happiness,Neutral,Neutral,He turned to you and was like...,9,2,4.0,2.6667,2.3333
Ses01F_impro03,Ses01F_impro03_F007,xxx,Excited,Happiness,Excited,Hey.  Let's get married and I said okay.,10,0,4.0,3.3333,2.3333
Ses01F_impro03,Ses01F_impro03_M007,hap,Happiness,Happiness,Happiness,[LAUGHTER] That's really romantic.,11,0,4.0,3.0,2.3333
Ses01F_impro03,Ses01F_impro03_F008,hap,Excited,Happiness,Happiness,"Yeah.  Well.  You know, because he's leaving the next day.",12,0,4.0,3.3333,2.3333
Ses01F_impro03,Ses01F_impro03_M008,neu,Happiness,Neutral,Neutral,Yeah.,13,2,4.0,2.6667,2.0
Ses01F_impro03,Ses01F_impro03_M008,neu,Happiness,Neutral,Neutral,Yeah.,31,2,4.0,2.6667,2.0
Ses01F_impro03,Ses01F_impro03_M008,neu,Happiness,Neutral,Neutral,Yeah.,37,2,4.0,2.6667,2.0
Ses01F_impro03,Ses01F_impro03_F009,hap,Other,Happiness,Happiness,But we're going to have a honeymoon cruise.,14,0,4.0,2.6667,2.3333
Ses01F_impro03,Ses01F_impro03_M009,neu,Excited,Neutral,Neutral,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",15,2,3.6667,2.3333,2.3333
Ses01F_impro03,Ses01F_impro03_F010,hap,Happiness,Excited,Surprise,Oh.  I hadn't even thought about that.,16,0,4.0,3.3333,3.0
Ses01F_impro03,Ses01F_impro03_F011,xxx,Excited,Neutral,Happiness,"He's not going to be a citizen, though.",17,0,4.0,3.0,2.3333
Ses01F_impro03,Ses01F_impro03_M011,neu,Happiness,Neutral,Neutral,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,18,2,3.6667,3.6667,2.6667
Ses01F_impro03,Ses01F_impro03_F012,hap,Happiness,Happiness,Happiness,Oh.  Totally.,19,0,4.0,3.6667,2.6667
Ses01F_impro03,Ses01F_impro03_M012,xxx,Happiness,Excited,Neutral,"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?",20,0,4.3333,3.6667,2.6667
Ses01F_impro03,Ses01F_impro03_F013,hap,Excited,Happiness,Happiness,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],21,0,5.0,4.0,3.3333
Ses01F_impro03,Ses01F_impro03_M013,hap,Happiness,Happiness,Excited,Like you need another one of those.[LAUGHTER],22,0,4.6667,4.0,3.0
Ses01F_impro03,Ses01F_impro03_F014,xxx,Excited,Happiness,Excited,I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,23,0,4.0,3.3333,2.3333
Ses01F_impro03,Ses01F_impro03_M014,hap,Other,Happiness,Excited,Is that your phone?,24,0,4.3333,3.6667,2.6667
Ses01F_impro03,Ses01F_impro03_F015,exc,Excited,Excited,Excited,"Yeah, so [LAUGHTER] He's calling me now",25,4,4.6667,3.6667,3.0
Ses01F_impro03,Ses01F_impro03_M015,hap,Excited,Happiness,Happiness,He loves you.,26,0,4.0,3.0,2.6667
Ses01F_impro03,Ses01F_impro03_F016,hap,Excited,Happiness,Happiness,"He likes to keep tabs, you know.",27,0,4.0,3.0,2.3333
Ses01F_impro03,Ses01F_impro03_M016,neu,Happiness,Neutral,Neutral,How much did he win at the slot?,28,2,3.6667,2.6667,2.6667
Ses01F_impro03,Ses01F_impro03_F017,neu,Excited,Neutral,Neutral,"Uh, I think seven hundred and fifty dollars.",29,2,3.6667,2.6667,2.3333
Ses01F_impro03,Ses01F_impro03_F018,neu,Happiness,Neutral,Neutral,Penny slots. That's what he plays.,30,2,3.6667,3.0,2.0
Ses01F_impro03,Ses01F_impro03_M019,neu,Neutral,Neutral,Neutral,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,32,2,3.0,3.0,2.3333
Ses01F_impro03,Ses01F_impro03_F021,hap,Happiness,Happiness,Neutral,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,33,0,3.3333,3.6667,2.6667
Ses01F_impro03,Ses01F_impro03_M020,neu,Neutral,Neutral,Neutral,"But the pennies always get you because you end up spending like, you know, fifty bucks.",34,2,3.3333,3.0,2.6667
Ses01F_impro03,Ses01F_impro03_F022,neu,Neutral,Neutral,Neutral,Fifty bucks. Mmhmm.,35,2,3.3333,2.6667,2.0
Ses01F_impro03,Ses01F_impro03_M021,neu,Neutral,Neutral,Neutral,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",36,2,3.0,3.3333,2.6667
Ses01F_impro03,Ses01F_impro03_F024,hap,Happiness,Happiness,Excited,Well so now we're married. We have cat children.,38,0,4.3333,3.0,2.6667
Ses01F_impro03,Ses01F_impro03_M022,exc,Excited,Excited,Excited,Awesome.,39,4,4.0,3.3333,2.6667
Ses01F_impro03,Ses01F_impro03_M023,hap,Happiness,Happiness,Happiness,[LAUGHTER] Cat babies.,40,0,4.6667,4.3333,3.6667
Ses01F_impro03,Ses01F_impro03_F025,hap,Happiness,Happiness,Excited,"We renamed Brenda, Lumber Janet.",41,0,4.3333,3.3333,3.3333
Ses01F_impro03,Ses01F_impro03_M024,neu,Neutral,Neutral,Neutral,That's fair enough.,42,2,3.6667,2.6667,2.3333
Ses01F_impro03,Ses01F_impro03_F026,hap,Happiness,Happiness,Happiness,She needs a new name each state that we go into. [LAUGHTER],43,0,4.6667,4.0,3.0
Ses01M_impro07,Ses01M_impro07_M000,exc,Excited,Excited,,Check this out.  You know how I've told you I've been really into like softball recently?,0,4,4.0,4.0,3.0
Ses01M_impro07,Ses01M_impro07_F000,neu,Excited,Neutral,,Yeah.,1,2,4.0,2.0,2.5
Ses01M_impro07,Ses01M_impro07_M001,exc,Excited,Excited,,"Well, this is totally random, I got this full ride scholarship to go to U.S.C next year to play softball.",2,4,4.0,3.0,3.0
Ses01M_impro07,Ses01M_impro07_F001,exc,Excited,Surprise,,[LAUGHTER]. For softball? That's unbelievable. Is it slow pitch?,3,4,4.5,4.0,3.0
Ses01M_impro07,Ses01M_impro07_M002,exc,Excited,Excited,,For softball.  They're going to pay me to go to school. Isn't that awesome?,4,4,5.0,3.5,4.0
