vid,utt_index,character,pred,true,text,all_prob,id,is_correct
Ses05F_script01_3,7,,0,0,Well the plan was to kind of sneak up on you over a period of a week or so.  But uh- they take it for granted that we're all set.,"[0.8877379894256592, 0.003049033461138606, 0.08484210819005966, 1.1750833436963148e-05, 0.01700494810938835, 0.007354097906500101]",Ses05F_script01_3_7,True
Ses05F_script01_3,18,,0,0,"Like Larry's brother.  Do it like you, Chris.  Chris, what's the matter?","[0.8878764510154724, 0.10305355489253998, 0.002497853944078088, 9.413622319698334e-05, 0.0041356985457241535, 0.002342275343835354]",Ses05F_script01_3_18,True
Ses05F_script01_1,21,,5,5,"Sit down, mom.  I want to talk to you.","[2.857163281078101e-06, 0.006542360410094261, 0.15969829261302948, 0.010578963905572891, 3.415686296648346e-05, 0.8231433033943176]",Ses05F_script01_1_21,True
Ses05F_script01_1,38,,2,2,Well I just don't see why it has to be Annie.,"[0.0054564522579312325, 0.08024684339761734, 0.6597316265106201, 0.03166694566607475, 0.0008497171220369637, 0.22204841673374176]",Ses05F_script01_1_38,True
Ses05M_impro01,9,,5,5,"Well then, when I showed them my I.D. before and I said I had to get a new I.D, why didn't they tell me to fill out the right form?","[9.462473116172987e-08, 1.4306888260762207e-05, 0.0012504482874646783, 0.3013669550418854, 3.2898153676796937e-06, 0.6973649263381958]",Ses05M_impro01_9,True
Ses05M_impro01,32,,5,5,I'm not leaving this line until I get my new I.D.  That's as simple as it is.  I'm not leaving this line until I get my new I.D.,"[1.0259066129947314e-06, 2.1466777980094776e-05, 0.0014229814987629652, 0.38803234696388245, 4.581985922413878e-05, 0.6104763746261597]",Ses05M_impro01_32,True
Ses05M_impro01,34,,5,5,"Well, then you're just gonna look stupid because I'm just waiting for an I.D. and you're gonna make security take me out because I want my I.D.","[2.924921602698305e-07, 1.0444985491631087e-05, 0.0006369869224727154, 0.33247244358062744, 1.64899138326291e-05, 0.6668633818626404]",Ses05M_impro01_34,True
Ses05M_impro01,37,,5,5,I filled out the wrong form because they made me fill out the wrong form!,"[3.860168931169028e-07, 3.454430043348111e-05, 0.002217512112110853, 0.4357385039329529, 2.390797271800693e-05, 0.5619851350784302]",Ses05M_impro01_37,True
Ses05M_impro07,22,,0,0,"Um- I'm gonna be studying at U.S.C., too.","[0.5138096213340759, 2.728642175497953e-05, 0.011125316843390465, 4.3755619572038995e-07, 0.47497689723968506, 6.047069837222807e-05]",Ses05M_impro07_22,True
Ses05M_impro07,33,,4,4,"They don't live here.  They don't know, right?","[0.03604920953512192, 0.0002607211354188621, 0.29362815618515015, 0.0007687167963013053, 0.6536679863929749, 0.01562526263296604]",Ses05M_impro07_33,True
Ses05M_impro07,39,,4,4,yeah.,"[0.06203935295343399, 4.7947149141691625e-05, 0.0622769370675087, 8.725993393454701e-05, 0.8741611838340759, 0.001387273776344955]",Ses05M_impro07_39,True
Ses05M_impro07,41,,4,4,"Well, I don't know.  I've got to go look for a place.","[0.016193939372897148, 0.0014141362626105547, 0.4535965621471405, 0.002270907163619995, 0.5077326893806458, 0.01879184879362583]",Ses05M_impro07_41,True
Ses05M_impro07,43,,4,4,"Yeah, yeah.  I- I don't- I don't know.  Do you have any suggestions?","[0.004577974323183298, 0.00035053209285251796, 0.401730477809906, 0.0020094027277082205, 0.5769303441047668, 0.01440128032118082]",Ses05M_impro07_43,True
Ses05M_impro07,46,,2,2,"Yeah.  I mean, I know, I know, like the- the housing surrounding the campus pretty well.","[0.21541054546833038, 0.00041460784268565476, 0.7260118126869202, 8.239903399953619e-05, 0.05281470715999603, 0.005265906918793917]",Ses05M_impro07_46,True
Ses05M_impro07,63,,0,0,"You've got a lot- oh, awesome.","[0.5964468717575073, 0.0003612204745877534, 0.041106928139925, 2.3466060156351887e-05, 0.3608744442462921, 0.0011871261522173882]",Ses05M_impro07_63,True
Ses05M_impro07,81,,0,0,Yeah.  We'll have so much fun.,"[0.5920133590698242, 0.00019234536739531904, 0.20198790729045868, 1.609454739082139e-05, 0.2052823007106781, 0.0005079358816146851]",Ses05M_impro07_81,True
Ses05M_script01_1,40,,3,3,"But if that can't happen, I'll just have to get out.","[4.997075961910014e-07, 0.011646619066596031, 0.018704436719417572, 0.777642548084259, 5.7675180869409814e-05, 0.19194816052913666]",Ses05M_script01_1_40,True
