vid,utt_index,predicted,actual,text,utter_id_x,emotion,C-E1,C-E2,C-E4,sentence,utter_id_y,label,expected_label,is_correct
Ses05F_impro01,23,5,1,"I am a very compassionate person, and I'm offended that you imply that I'm not.  Of course, I'm compassionate.  Look, I work in the D.M.V..  What do you think I am?  Go wait in line two A.",Ses05F_impro01_M012,fru,Frustration,Anger,Frustration,"I am a very compassionate person, and I'm offended that you imply that I'm not.  Of course, I'm compassionate.  Look, I work in the D.M.V..  What do you think I am?  Go wait in line two A.",23,5,,False
Ses05F_impro01,25,5,1,"Please, I don't think that's necessary.  I'm just asking, maybe you could call over and say that somebody miss informed her because I didn't pick to stand in this line.  I asked them where to stand, and they told me here.",Ses05F_impro01_F013,fru,Frustration,Frustration,Frustration,"Please, I don't think that's necessary.  I'm just asking, maybe you could call over and say that somebody miss informed her because I didn't pick to stand in this line.  I asked them where to stand, and they told me here.",25,5,,False
Ses05F_impro01,27,5,1,"No, they did.  The lady over there told me to stand in this line and I've been here for an hour.",Ses05F_impro01_F014,fru,Frustration,Anger,Frustration,"No, they did.  The lady over there told me to stand in this line and I've been here for an hour.",27,5,,False
Ses05F_impro01,28,5,1,"what The lady, what? the janitor?",Ses05F_impro01_M015,fru,Frustration,Anger,Frustration,"what The lady, what? the janitor?",28,5,,False
Ses05F_impro01,29,5,4,No.,Ses05F_impro01_FXX0,unknown,,,,No.,29,5,,False
Ses05F_impro05,22,5,2,And you couldn't find it?,Ses05F_impro05_M011,fru,Frustration,Frustration,Neutral,And you couldn't find it?,22,5,,False
Ses05F_impro05,23,5,2,"No, it didn't turn up at the baggage claim.",Ses05F_impro05_F011,fru,Frustration,Anger,Frustration,"No, it didn't turn up at the baggage claim.",23,5,,False
Ses05F_impro05,27,5,2,Okay.,Ses05F_impro05_F013,fru,Frustration,Frustration,Frustration,Okay.,27,5,,False
Ses05F_impro05,36,5,2,"Well,",Ses05F_impro05_M019,neu,Neutral,Neutral,Neutral,"Well,",36,2,,False
Ses05F_impro05,54,5,3,Why do I need flight insurance?  Why don't you guys just guarantee that you're going to get the stuff that I leave with to my destination?,Ses05F_impro05_F026,fru,Frustration,Anger,Frustration,Why do I need flight insurance?  Why don't you guys just guarantee that you're going to get the stuff that I leave with to my destination?,54,5,,False
Ses05F_impro05,56,5,3,"Right, but if I'm riding a bus, I don't need to buy luggage insurance that the backpack I take on is going to get to my destination with me.",Ses05F_impro05_F027,fru,Frustration,Anger,Frustration,"Right, but if I'm riding a bus, I don't need to buy luggage insurance that the backpack I take on is going to get to my destination with me.",56,5,,False
Ses05F_impro05,60,5,3,"Well, you know what, it could still turn up, but until then I can offer you this fifty dollar voucher.",Ses05F_impro05_M035,fru,Frustration,Frustration,Neutral,"Well, you know what, it could still turn up, but until then I can offer you this fifty dollar voucher.",60,5,,False
Ses05F_impro04,0,3,2,"Brian, I need help.",Ses05F_impro04_F000,sad,Sadness,Sadness,Sadness,"Brian, I need help.",0,1,,False
Ses05F_impro04,2,5,2,"Well, of course not, but what are you going to do if you move back home?  Are you going to be able to find a job there?",Ses05F_impro04_M001,neu,Frustration,Neutral,Neutral,"Well, of course not, but what are you going to do if you move back home?  Are you going to be able to find a job there?",2,2,,False
Ses05F_impro04,3,2,5,"I don't know.  I mean, what am I supposed to do? I've It's not for lack of effort.  I've been trying.",Ses05F_impro04_F002,fru,Frustration,Sadness,Frustration,"I don't know.  I mean, what am I supposed to do? I've It's not for lack of effort.  I've been trying.",3,5,,False
Ses05F_impro04,4,2,5,"I wish I had some answers for you, babe.  I mean-I don't know what to tell you.",Ses05F_impro04_M002,fru,Frustration,Frustration,Frustration,"I wish I had some answers for you, babe.  I mean-I don't know what to tell you.",4,5,,False
Ses05F_impro04,9,2,5,It's not fair.,Ses05F_impro04_F005,fru,Frustration,Anger,Frustration,It's not fair.,9,5,,False
Ses05F_impro04,12,3,5,I,Ses05F_impro04_M006,fru,Frustration,Frustration,Frustration,I,12,5,,False
Ses05F_impro04,14,5,3,"No, it doesn't pay the bills, but it would pay something.  And it would help you get somewhere else.",Ses05F_impro04_M007,neu,Anger,Neutral,Neutral,"No, it doesn't pay the bills, but it would pay something.  And it would help you get somewhere else.",14,2,,False
Ses05F_impro04,16,5,3,"and No, I understand, but you've got to start somewhere.  It's better than nothing and that's all you have.  You have nothing right now.",Ses05F_impro04_M008,neu,Frustration,Neutral,Neutral,"and No, I understand, but you've got to start somewhere.  It's better than nothing and that's all you have.  You have nothing right now.",16,2,,False
Ses05F_impro04,21,5,3,This is humiliating.,Ses05F_impro04_F011,fru,Frustration,Anger,Frustration,This is humiliating.,21,5,,False
Ses05F_impro04,23,5,1,"No, I don't I don't want to accept that.  I think that's bullshit.",Ses05F_impro04_F012,fru,Frustration,Anger,Frustration,"No, I don't I don't want to accept that.  I think that's bullshit.",23,5,,False
Ses05F_impro04,25,5,3,I don't know.  I feel like I've tried everything.,Ses05F_impro04_F013,fru,Frustration,Frustration,Frustration,I don't know.  I feel like I've tried everything.,25,5,,False
Ses05M_impro08,12,2,5,"Okay. Um-  Well, I don't know.  And it consistently happens every two weeks?",Ses05M_impro08_M006,neu,Neutral,Neutral,Other,"Okay. Um-  Well, I don't know.  And it consistently happens every two weeks?",12,2,,False
Ses05M_impro08,21,5,2,"Well, I- I can check that.  Is there anything else we can do, too?  Like, I'll go through and check the line throughout the house, but --",Ses05M_impro08_F011,neu,Frustration,Neutral,Neutral,"Well, I- I can check that.  Is there anything else we can do, too?  Like, I'll go through and check the line throughout the house, but --",21,2,,False
Ses05M_impro08,22,5,2,"Yeah, well, absolutely.  What we can -- let's just go ahead and just do a basic diagnostic of your system first off, okay.  Can you go down to your start button?",Ses05M_impro08_M011,neu,Neutral,Neutral,Neutral,"Yeah, well, absolutely.  What we can -- let's just go ahead and just do a basic diagnostic of your system first off, okay.  Can you go down to your start button?",22,2,,False
Ses05M_impro08,28,2,5,"Okay Uh- You've got your C calling, go ahead and type in directory list.",Ses05M_impro08_M014,neu,Neutral,Neutral,Neutral,"Okay Uh- You've got your C calling, go ahead and type in directory list.",28,2,,False
Ses05M_impro08,32,2,5,Okay?  Can you tell me what that says?,Ses05M_impro08_M016,neu,Neutral,Neutral,Neutral,Okay?  Can you tell me what that says?,32,2,,False
Ses05M_impro08,33,2,5,"Uh, it it's like a bunch of different letter and numbers and stuff.",Ses05M_impro08_F017,neu,Neutral,Neutral,Neutral,"Uh, it it's like a bunch of different letter and numbers and stuff.",33,2,,False
Ses05M_impro08,41,5,3,"Oh, my God.  I can't even tell you how much of a relief that is.  I literally call and talk to five different people.  Like last week it went off and I spent an hour and a half on the phone with different people.  And I've been doing that like every, every other week for months now.",Ses05M_impro08_F022,hap,Excited,Happiness,Surprise,"Oh, my God.  I can't even tell you how much of a relief that is.  I literally call and talk to five different people.  Like last week it went off and I spent an hour and a half on the phone with different people.  And I've been doing that like every, every other week for months now.",41,0,,False
Ses05M_impro08,44,2,5,Absolutely. And I just don't want that to happen to you anymore.,Ses05M_impro08_M023,neu,Excited,Neutral,Neutral,Absolutely. And I just don't want that to happen to you anymore.,44,2,,False
Ses05M_impro08,46,5,2,"Yeah, accountability.  It's awesome.",Ses05M_impro08_F025,hap,Happiness,Happiness,Happiness,"Yeah, accountability.  It's awesome.",46,0,,False
Ses05M_impro08,47,5,3,Uh huh Uh huh We want you to be happy.  You're our customer.  You're the most important thing. Okay?,Ses05M_impro08_M025,neu,Excited,Neutral,Neutral,Uh huh Uh huh We want you to be happy.  You're our customer.  You're the most important thing. Okay?,47,2,,False
Ses05M_impro08,48,5,3,"Wow.  You know I was thinking about changing internet providers, but but that- that really is enough to change my mind.",Ses05M_impro08_F026,hap,Happiness,Surprise,Happiness,"Wow.  You know I was thinking about changing internet providers, but but that- that really is enough to change my mind.",48,0,,False
Ses05M_impro08,50,5,3,No.  I'm just gonna go have a fantastic day now.,Ses05M_impro08_F027,hap,Excited,Happiness,Happiness,No.  I'm just gonna go have a fantastic day now.,50,0,,False
Ses05M_impro08,51,2,5,All right.  You have a wonderful day.  Call us anytime.,Ses05M_impro08_M027,neu,Happiness,Neutral,Neutral,All right.  You have a wonderful day.  Call us anytime.,51,2,,False
Ses05M_impro08,52,2,5,Okay.  Thanks.,Ses05M_impro08_F028,hap,Excited,Happiness,Happiness,Okay.  Thanks.,52,0,,False
Ses05M_impro08,53,5,3,"All right.  Bye, bye.",Ses05M_impro08_M028,hap,Happiness,Neutral,Happiness,"All right.  Bye, bye.",53,0,,False
Ses05F_script03_2,0,2,5,You knew there was nothing in that.,Ses05F_script03_2_F000,neu,Frustration,Neutral,Neutral,You knew there was nothing in that.,0,2,,False
Ses05F_script03_2,1,5,3,Only a trivial little broach.,Ses05F_script03_2_F001,neu,Frustration,Neutral,Neutral,Only a trivial little broach.,1,2,,False
Ses05F_script03_2,2,2,5,You worked the whole thing up in your jealous imagination.,Ses05F_script03_2_F003,neu,Frustration,Neutral,Neutral,You worked the whole thing up in your jealous imagination.,2,2,,False
Ses05F_script03_2,3,5,3,"You must admit that he was in love with you, wasn't he?",Ses05F_script03_2_M004,ang,Anger,Anger,Other,"You must admit that he was in love with you, wasn't he?",3,3,,False
Ses05F_script03_2,8,3,5,"Well, I- he got a lot of pleasure out of it and it didn't hurt me.",Ses05F_script03_2_F006,neu,Frustration,Neutral,Neutral,"Well, I- he got a lot of pleasure out of it and it didn't hurt me.",8,2,,False
Ses05F_script03_2,12,2,5,I'll have a little I think.,Ses05F_script03_2_M010,neu,Frustration,Neutral,Neutral,I'll have a little I think.,12,2,,False
Ses05F_script03_2,14,5,2,"Well, it seems silly to go on and on in such a thing.",Ses05F_script03_2_F011,neu,Frustration,Neutral,Neutral,"Well, it seems silly to go on and on in such a thing.",14,2,,False
Ses05F_script03_2,15,5,3,It's becoming a habit with you.,Ses05F_script03_2_F012,neu,Frustration,Neutral,Neutral,It's becoming a habit with you.,15,2,,False
Ses05F_script03_2,17,2,5,"Really, Amanda.",Ses05F_script03_2_M014,ang,Anger,Anger,Other,"Really, Amanda.",17,3,,False
Ses05F_script03_2,18,5,2,Just making myself fascinating for you.,Ses05F_script03_2_F014,neu,Frustration,Neutral,Neutral,Just making myself fascinating for you.,18,2,,False
Ses05F_script03_2,19,5,3,"Oh, that reply has broken my heart.",Ses05F_script03_2_M016,ang,Anger,Anger,Neutral,"Oh, that reply has broken my heart.",19,3,,False
Ses05F_script03_2,21,5,3,It's a pity you didn't take a little more brandy.  It might have made you a little less disagreeable.,Ses05F_script03_2_M019,ang,Anger,Anger,Frustration,It's a pity you didn't take a little more brandy.  It might have made you a little less disagreeable.,21,3,,False
Ses05F_script03_2,26,2,5,"I don't care if they bark and roll around like hoops, okay.",Ses05F_script03_2_F021,ang,Anger,Anger,Frustration,"I don't care if they bark and roll around like hoops, okay.",26,3,,False
Ses05F_script03_2,28,2,5,Did you see much of Peter Burden after the divorce?,Ses05F_script03_2_M024,ang,Anger,Anger,Other,Did you see much of Peter Burden after the divorce?,28,3,,False
Ses05F_script03_2,30,2,5,I suppose you let him kiss you a good deal more then.,Ses05F_script03_2_M025,ang,Anger,Anger,Other,I suppose you let him kiss you a good deal more then.,30,3,,False
Ses05F_script03_2,32,2,5,"You must have a riotous time, no restraint at all, very enjoyable.  I mean, you never had much anyway.",Ses05F_script03_2_M026,ang,Anger,Anger,Other,"You must have a riotous time, no restraint at all, very enjoyable.  I mean, you never had much anyway.",32,3,,False
Ses05F_script03_2,33,5,3,"Oh dear, you really are becoming quite insufferable.  I would imagine it's because you're drunk.",Ses05F_script03_2_F024,ang,Anger,Anger,Other,"Oh dear, you really are becoming quite insufferable.  I would imagine it's because you're drunk.",33,3,,False
Ses05F_script03_2,35,5,3,"Oh, This is very interesting.  We- we might get a splendid debate going about this intemperate tots.",Ses05F_script03_2_M030,fru,Frustration,Anger,Frustration,"Oh, This is very interesting.  We- we might get a splendid debate going about this intemperate tots.",35,5,,False
Ses05F_script03_2,36,2,5,"Not very funny, dear, you better have some more brandy.",Ses05F_script03_2_F027,ang,Anger,Anger,Other,"Not very funny, dear, you better have some more brandy.",36,3,,False
Ses05F_script03_2,45,5,2,"Well, do try to control yourself darling.",Ses05F_script03_2_F034,ang,Anger,Anger,Frustration,"Well, do try to control yourself darling.",45,3,,False
Ses05F_script03_2,47,5,2,You really do need to develop uh a clearer head.,Ses05F_script03_2_F035,ang,Anger,Anger,Anger,You really do need to develop uh a clearer head.,47,3,,False
Ses05F_script03_2,49,2,5,I- I hate you.,Ses05F_script03_2_F036,ang,Anger,Anger,Frustration,I- I hate you.,49,3,,False
Ses05F_script03_2,50,5,3,Amanda-- Listen- Listen-,Ses05F_script03_2_M040,ang,Anger,Anger,Anger,Amanda-- Listen- Listen-,50,3,,False
Ses05F_script03_2,51,2,5,I hate you.,Ses05F_script03_2_F037,ang,Anger,Anger,Frustration,I hate you.,51,3,,False
Ses05F_script03_2,57,3,5,"Shut up, shut up.  I wouldn't marry you again if you came crawling to me on bended knee. You're a mean, evil-minded little vampire and I hope to God I never set eyes on you again.",Ses05F_script03_2_M043,ang,Anger,Anger,Frustration,"Shut up, shut up.  I wouldn't marry you again if you came crawling to me on bended knee. You're a mean, evil-minded little vampire and I hope to God I never set eyes on you again.",57,3,,False
Ses05F_script02_2,3,5,3,"I am not the only one, look at all these people.",Ses05F_script02_2_M003,neu,Frustration,Neutral,Neutral,"I am not the only one, look at all these people.",3,2,,False
Ses05F_script02_2,5,5,3,"Carla, can I ask you a question?  Now don't be upset, are you having a period?",Ses05F_script02_2_M005,neu,Frustration,Neutral,Neutral,"Carla, can I ask you a question?  Now don't be upset, are you having a period?",5,2,,False
Ses05M_impro04,17,1,2,"Yeah, yeah.  Well, hello.  That's what I'm doing too.  But I can't get the restaurant job.  I can't get -- -- the restaurant gig.  No one will give me anything.",Ses05M_impro04_M011,fru,Frustration,Frustration,Frustration,"Yeah, yeah.  Well, hello.  That's what I'm doing too.  But I can't get the restaurant job.  I can't get -- -- the restaurant gig.  No one will give me anything.",17,5,,False
Ses05M_impro04,28,2,5,"Yeah, but I'm -- okay, well how about personality wise?  I mean, people who know me won't hire me.  Why?",Ses05M_impro04_M017,fru,Frustration,Frustration,Neutral,"Yeah, but I'm -- okay, well how about personality wise?  I mean, people who know me won't hire me.  Why?",28,5,,False
Ses05M_impro04,31,5,3,"Right.  Maybe you have, like, you know a little bit of an abrasive vibe or something.",Ses05M_impro04_F014,neu,Neutral,Neutral,Neutral,"Right.  Maybe you have, like, you know a little bit of an abrasive vibe or something.",31,2,,False
Ses05M_impro04,46,5,1,Okay so.,Ses05M_impro04_F023,neu,Frustration,Neutral,Neutral,Okay so.,46,2,,False
Ses05M_impro04,48,5,1,Because that would just really be a topper for me.,Ses05M_impro04_M026,fru,Frustration,Neutral,Frustration,Because that would just really be a topper for me.,48,5,,False
Ses05M_impro04,56,2,5,Have you checked out Craig's List and stuff?,Ses05M_impro04_F029,neu,Neutral,Neutral,Neutral,Have you checked out Craig's List and stuff?,56,2,,False
Ses05M_impro04,57,5,1,Yes!  Nobody wants a juggler.  I am not going to -- I'm not going to dress up like a clown. I'm not going to dress up like a freaking clown. No.,Ses05M_impro04_M031,fru,Frustration,Frustration,Frustration,Yes!  Nobody wants a juggler.  I am not going to -- I'm not going to dress up like a clown. I'm not going to dress up like a freaking clown. No.,57,5,,False
Ses05M_impro04,60,2,5,Okay.  All right.,Ses05M_impro04_F031,neu,Neutral,Neutral,Neutral,Okay.  All right.,60,2,,False
Ses05M_impro04,64,5,2,What else?  I can't -- uh.  I'm drawing a blank here.,Ses05M_impro04_F033,fru,Frustration,Frustration,Neutral,What else?  I can't -- uh.  I'm drawing a blank here.,64,5,,False
Ses05M_impro04,67,1,5,"Well, um, is that kinda like the side of you that you let people see when you go into these job interviews?",Ses05M_impro04_F035,neu,Neutral,Neutral,Neutral,"Well, um, is that kinda like the side of you that you let people see when you go into these job interviews?",67,2,,False
Ses05M_impro04,72,5,2,see.,Ses05M_impro04_M039,fru,Anger,Frustration,Frustration,see.,72,5,,False
Ses05M_script03_2,5,0,5,He let him kiss you.  You said you did.,Ses05M_script03_2_M005,fru,Frustration,Frustration,Neutral,He let him kiss you.  You said you did.,5,5,,False
Ses05M_script03_2,7,1,5,Well it gave him a lot of pleasure and it didn't hurt me.,Ses05M_script03_2_F006,neu,Frustration,Neutral,Neutral,Well it gave him a lot of pleasure and it didn't hurt me.,7,2,,False
Ses05M_script03_2,8,0,2,"Well, that's a nice point of view I must say.",Ses05M_script03_2_M008,ang,Frustration,Anger,Anger,"Well, that's a nice point of view I must say.",8,3,,False
Ses05M_script03_2,9,0,2,I'm getting very bored with this conversation.,Ses05M_script03_2_F008,fru,Frustration,Frustration,Other,I'm getting very bored with this conversation.,9,5,,False
Ses05M_script03_2,11,0,2,Do you want some brandy?,Ses05M_script03_2_M010,neu,Frustration,Neutral,Neutral,Do you want some brandy?,11,2,,False
Ses05M_script03_2,15,0,2,Don't be stupid.,Ses05M_script03_2_F013,fru,Frustration,Anger,Frustration,Don't be stupid.,15,5,,False
Ses05M_script03_2,17,0,1,"Nothing.  Are you going out somewhere, darling?",Ses05M_script03_2_M016,fru,Frustration,Frustration,Frustration,"Nothing.  Are you going out somewhere, darling?",17,5,,False
Ses05M_script03_2,19,1,2,"Um- Well, that reply has just broken my heart.",Ses05M_script03_2_M017,fru,Frustration,Anger,Frustration,"Um- Well, that reply has just broken my heart.",19,5,,False
Ses05M_script03_2,21,5,2,"No, it it is not, be quiet.",Ses05M_script03_2_F018,ang,Anger,Anger,Other,"No, it it is not, be quiet.",21,3,,False
Ses05M_script03_2,23,5,2,"Nonsense, they've got a little bag of venom behind their fangs and they snap!",Ses05M_script03_2_M022,fru,Frustration,Anger,Frustration,"Nonsense, they've got a little bag of venom behind their fangs and they snap!",23,5,,False
Ses05M_script03_2,35,2,5,Not- Would you shut up.,Ses05M_script03_2_F028,ang,Anger,Frustration,Anger,Not- Would you shut up.,35,3,,False
Ses05M_script03_2,37,2,5,"You're not very funny, dear.  You better have some more brandy.",Ses05M_script03_2_F029,fru,Frustration,Anger,Frustration,"You're not very funny, dear.  You better have some more brandy.",37,5,,False
Ses05M_script03_2,39,2,5,"You better turn that off, I think.",Ses05M_script03_2_M032,ang,Frustration,Anger,Anger,"You better turn that off, I think.",39,3,,False
Ses05M_impro05,9,5,0,"So, within the country, though? umm",Ses05M_impro05_F004,neu,Frustration,,Neutral,"So, within the country, though? umm",9,2,,False
Ses05M_impro05,17,2,0,Okay.,Ses05M_impro05_F008,neu,Frustration,,Neutral,Okay.,17,2,,False
Ses05M_impro05,21,2,0,"Well, no one even told me about that.  Like, why would I think to buy insurance?  I was- It's like a three hour flight.",Ses05M_impro05_M012,fru,Frustration,,Frustration,"Well, no one even told me about that.  Like, why would I think to buy insurance?  I was- It's like a three hour flight.",21,5,,False
Ses05M_impro03,20,2,3,"No, it's totally original, though.",Ses05M_impro03_F009,hap,Happiness,Happiness,Happiness,"No, it's totally original, though.",20,0,,False
Ses05M_impro03,24,3,5,"Yes.  We did that in the beginning, exactly.  So we had, so we just had, you know, good times the rest of the weekend, yeah.",Ses05M_impro03_M014,hap,Happiness,Happiness,Excited,"Yes.  We did that in the beginning, exactly.  So we had, so we just had, you know, good times the rest of the weekend, yeah.",24,0,,False
Ses05M_impro03,35,5,2,Of course.  We'll go out to dinner later this week.,Ses05M_impro03_M020,exc,Excited,Excited,Neutral,Of course.  We'll go out to dinner later this week.,35,4,,False
Ses05M_impro03,36,5,3,yes.,Ses05M_impro03_F018,exc,Happiness,Excited,Excited,yes.,36,4,,False
Ses05M_impro03,37,3,5,It will be perfect.,Ses05M_impro03_M021,exc,Excited,Excited,Neutral,It will be perfect.,37,4,,False
Ses05M_impro03,39,2,3,oh.,Ses05M_impro03_F010,hap,Happiness,Happiness,Happiness,oh.,39,0,,False
Ses05M_impro03,41,5,3,"Oh, my gosh.  You told your parents already? and everything",Ses05M_impro03_F021,hap,Happiness,Happiness,Excited,"Oh, my gosh.  You told your parents already? and everything",41,0,,False
Ses05M_impro03,45,5,3,She wants grandkids. So we'll be working on that right away.,Ses05M_impro03_M026,hap,Happiness,Happiness,Happiness,She wants grandkids. So we'll be working on that right away.,45,0,,False
Ses05M_impro03,46,3,2,Are you guys gonna have kids?,Ses05M_impro03_F023,exc,Excited,Surprise,Excited,Are you guys gonna have kids?,46,4,,False
Ses05M_impro03,51,3,5,"Yeah, have you ever like lived with someone else before?",Ses05M_impro03_F027,neu,Happiness,Neutral,Neutral,"Yeah, have you ever like lived with someone else before?",51,2,,False
Ses05M_impro03,52,3,5,"Oh, yeah, yeah, yeah, yeah I mean, actually we lived together awhile back when we -- Yeah, back in college for a little while. yeah.",Ses05M_impro03_M030,hap,Happiness,Happiness,Neutral,"Oh, yeah, yeah, yeah, yeah I mean, actually we lived together awhile back when we -- Yeah, back in college for a little while. yeah.",52,0,,False
Ses05M_impro03,54,3,5,Oooh,Ses05M_impro03_F030,neu,Happiness,Neutral,Neutral,Oooh,54,2,,False
Ses05M_impro03,55,3,5,it's great. I'm a lucky man.,Ses05M_impro03_M032,hap,Happiness,Excited,Happiness,it's great. I'm a lucky man.,55,0,,False
Ses05M_impro03,57,2,3,Thank you.,Ses05M_impro03_M033,hap,Happiness,Happiness,Happiness,Thank you.,57,0,,False
Ses05M_script01_3,0,2,3,You're the only one I know who loves his parents.,Ses05M_script01_3_F000,neu,Frustration,Neutral,Neutral,You're the only one I know who loves his parents.,0,2,,False
Ses05F_impro02,7,2,4,What am I going to do?,Ses05F_impro02_M006,fru,Frustration,Surprise,Frustration,What am I going to do?,7,5,,False
Ses05F_impro02,8,2,5,"I don't know ""sigh"".",Ses05F_impro02_F008,sad,Sadness,Sadness,Frustration,"I don't know ""sigh"".",8,1,,False
Ses05F_impro02,13,5,3,Iraq.,Ses05F_impro02_F006,fea,Fear,Sadness,Fear,Iraq.,13,1,,False
Ses05F_impro02,18,2,5,It doesn't make any sense.  It's stupid.  I told you you shouldn't go in the Army.,Ses05F_impro02_M015,ang,Anger,Anger,Anger,It doesn't make any sense.  It's stupid.  I told you you shouldn't go in the Army.,18,3,,False
